
══════════════════════════════════════════════════════════════════════════════
  PACKAGE                             LICENSE                     D  CATEGORY
  opencv-python-headless              Apache 2.0                  2  ✓ Permissive
  orjson                              Apache Software License     3  ✓ Permissive
  packaging                           Unknown                     2  ? Unknown
  pandas                              BSD 3-Clause License  ...   2  ✓ Permissive
  pathlib2                            MIT                         3  ✓ Permissive
  pathspec                            Mozilla Public License...   2  △ Weak Copyleft
  pillow                              Unknown                     2  ? Unknown
  platformdirs                        MIT License                 2  ✓ Permissive
  pluggy                              MIT                         2  ✓ Permissive
  pre-commit                          MIT                         1  ✓ Permissive
  prompt-toolkit                      BSD License                 4  ✓ Permissive
  propcache                           Apache-2.0                  3  ✓ Permissive
  protobuf                            3-Clause BSD License        2  ✓ Permissive
  psutil                              BSD-3-Clause                2  ✓ Permissive
  pyarrow                             Unknown                     3  ? Unknown
  pycparser                           Unknown                     5  ? Unknown
  pydantic                            Unknown                     1  ? Unknown
  pydantic-core                       Unknown                     2  ? Unknown
  pydantic-settings                   MIT License                 2  ✓ Permissive
  pydot                               Unknown                     2  ? Unknown
  pygit2                              GPLv2 with linking exc...   3  ✗ Copyleft
  pygments                            Unknown                     2  ? Unknown
  pygtrie                             Apache-2.0                  2  ✓ Permissive
  pyiqa                               Apache Software License     1  ✓ Permissive
  pyjwt                               Unknown                     3  ? Unknown
  pyparsing                           Unknown                     2  ? Unknown
  pytest                              Unknown                     1  ? Unknown
  python-dateutil                     Dual License                2  ? Unknown
  python-discovery                    Permission is hereby g...   3  ✓ Permissive
  python-dotenv                       BSD-3-Clause                2  ✓ Permissive
  python-multipart                    Apache Software License     3  ✓ Permissive
  pytokens                            MIT License           ...   3  ✓ Permissive
  pytorch-lightning                   Apache-2.0                  1  ✓ Permissive
  pywin32                             PSF                         3  ✓ Permissive
  pyyaml                              MIT                         2  ✓ Permissive
  referencing                         Unknown                     4  ? Unknown
  regex                               Unknown                     2  ? Unknown
  requests                            Apache-2.0                  2  ✓ Permissive
  rich                                MIT                         2  ✓ Permissive
  rpds-py                             Unknown                     4  ? Unknown
  ruamel.yaml                         MIT                         2  ✓ Permissive
  ruff                                Unknown                     1  ? Unknown
  safetensors                         Apache Software License     2  ✓ Permissive
  scandir                             New BSD License             4  ✓ Permissive
  scikit-image                        Files: *          Copy...   2  ✓ Permissive
  scipy                               Copyright (c) 2001-200...   2  ✓ Permissive
  scmrepo                             Unknown                     2  ? Unknown
  semver                              Copyright (c) 2013, Ko...   3  ✓ Permissive
  sentencepiece                       Unknown                     2  ? Unknown
  sentry-sdk                          Unknown                     2  ? Unknown
  setuptools                          Unknown                     2  ? Unknown
  sgmllib3k                           BSD License                 4  ✓ Permissive
  shellingham                         ISC License                 4  ✓ Permissive
  shortuuid                           BSD-3-Clause                2  ✓ Permissive
  shtab                               Unknown                     2  ? Unknown
  six                                 MIT                         3  ✓ Permissive
  smmap                               BSD-3-Clause                4  ✓ Permissive
  sqltrie                             Apache-2.0                  3  ✓ Permissive
  sse-starlette                       Unknown                     2  ? Unknown
  starlette                           Unknown                     3  ? Unknown
  stringzilla                         Apache-2.0                  3  ✓ Permissive
  sympy                               BSD                         2  ✓ Permissive
  tabulate                            Unknown                     2  ? Unknown
  tensorboard                         Apache 2.0                  1  ✓ Permissive
  tensorboard-data-server             Apache 2.0                  2  ✓ Permissive
  tifffile                            BSD-3-Clause                3  ✓ Permissive
  timm                                Apache-2.0                  2  ✓ Permissive
  tokenizers                          Apache Software License     3  ✓ Permissive
  tomli                               Unknown                     2  ? Unknown
  tomlkit                             MIT                         2  ✓ Permissive
  torch                               BSD-3-Clause                1  ✓ Permissive
  torchaudio                          BSD License                 1  ✓ Permissive
  torchmetrics                        Apache-2.0                  1  ✓ Permissive
  torchvision                         BSD                         1  ✓ Permissive
  tqdm                                MPL-2.0 AND MIT             2  △ Weak Copyleft
  transformers                        Apache 2.0 License          2  ✓ Permissive
  triton                              MIT License                 2  ✓ Permissive
  typer                               Unknown                     3  ? Unknown
  typing                              PSF                         3  ✓ Permissive
  typing-extensions                   Unknown                     2  ? Unknown
  typing-inspection                   Unknown                     2  ? Unknown
  tzdata                              Apache-2.0                  3  ✓ Permissive
  tzlocal                             MIT                         3  ✓ Permissive
  urllib3                             Unknown                     3  ? Unknown
  uvicorn                             Unknown                     2  ? Unknown
  vine                                BSD                         3  ✓ Permissive
  virtualenv                          MIT License                 2  ✓ Permissive
  voluptuous                          BSD-3-Clause                2  ✓ Permissive
  wandb                               MIT License           ...   1  ✓ Permissive
  wcwidth                             Unknown                     5  ? Unknown
  werkzeug                            Unknown                     2  ? Unknown
  xxhash                              BSD                         3  ✓ Permissive
  yapf                                 Apache License Versio...   2  ✓ Permissive
  yarl                                Apache-2.0                  3  ✓ Permissive
  zc.lockfile                         ZPL-2.1                     2  ? Unknown
  zipp                                Unknown                     3  ? Unknown
══════════════════════════════════════════════════════════════════════════════

  Summary by Category:
    Copyleft            : 2
    Permissive          : 136
    Proprietary         : 1
    Unknown             : 75
    Weak Copyleft       : 4

  WARNING (copyright / AI Act): Copyleft licenses detected:
     • grandalf — GPLv2 | EPLv1
     • pygit2 — GPLv2 with linking exception
     → Distribution requires releasing source code under the same license.

